index,question,answer,intent,retrieved_count,k,context_found,branch
1,닭가슴살로 만들 수 있는 간단한 저녁 메뉴 추천해줘.,"닭가슴살로 만들 수 있는 간단한 저녁 메뉴로 ""닭가슴살 스테이크""를 추천합니다. 이 요리는 담백하면서도 맛있고, 조리 시간도 짧아 저녁 메뉴로 적합합니다.

1) **재료(계량 포함)**  
- 닭가슴살 2조각 (약 300g)  
- 올리브유 2큰술  
- 소금 1작은술  
- 후추 1/2작은술  
- 마늘 가루 1작은술 (선택 사항)  
- 허브(타임, 로즈마리 등) 1작은술 (선택 사항)  
- 레몬즙 1큰술 (선택 사항)  

2) **단계**  
1. 닭가슴살을 고르게 두께로 펴서 준비합니다.  
2. 올리브유, 소금, 후추, 마늘 가루, 허브를 섞어 마리네이드 소스를 만듭니다.  
3. 닭가슴살에 마리네이드를 바르고 최소 30분 동안 재워둡니다.  
4. 팬을 중불로 예열한 후, 재워둔 닭가슴살을 올리고 각 면을 약 5-7분씩 구워줍니다.  
5. 닭가슴살이 완전히 익으면 팬에서 꺼내고, 레몬즙을 뿌려서 서빙합니다.  

3) **핵심 팁**  
- 닭가슴살을 재울 때 시간이 길수록 더 맛이 배어들기 때문에 가능하면 몇 시간 이상 재워두는 것이 좋습니다.  
- 팬에서 구울 때 너무 자주 뒤집지 말고, 한 면이 잘 구워진 후 뒤집어 주세요.  

4) **변형/대체 옵션**  
- 마리네이드에 간장이나 발사믹 식초를 추가하여 다른 맛을 낼 수 있습니다.  
- 닭가슴살 대신 칠면조 가슴살이나 두부를 사용해도 좋습니다.  

이 요리는 단백질이 풍부하고, 저칼로리로 건강한 저녁 식사로 적합합니다.",recipe,10,10,True,has_docs
2,두부와 버섯만으로 가능한 비건 요리 있어?,"물론입니다! 두부와 버섯을 이용한 비건 요리로 '두부 버섯 볶음'을 추천합니다. 이 요리는 간단하면서도 맛있고 영양가가 높습니다.

1) **재료**  
- 두부: 300g  
- 버섯 (표고버섯 또는 양송이): 200g  
- 올리브유: 2큰술  
- 간장: 2큰술  
- 마늘: 2쪽 (다진 것)  
- 생강: 1작은술 (다진 것)  
- 후추: 약간  
- 대파: 1대 (썬 것, 선택 사항)  

2) **단계**  
1. 두부는 물기를 제거하고 1.5cm 크기로 잘라줍니다.  
2. 버섯은 깨끗이 씻고 슬라이스합니다.  
3. 팬에 올리브유를 두르고 중불에서 두부를 노릇하게 구워줍니다.  
4. 두부가 구워지면 다진 마늘과 생강을 넣고 볶아 향을 낸 후, 버섯을 추가합니다.  
5. 버섯이 부드러워질 때까지 볶고, 간장과 후추로 간을 맞춥니다.  
6. 마지막으로 대파를 넣고 한 번 더 볶아줍니다.  

3) **핵심 팁**  
- 두부는 꼭 물기를 제거한 후 볶아야 더 바삭한 식감을 얻을 수 있습니다.  
- 버섯은 다양한 종류를 사용해도 좋으며, 각기 다른 맛을 즐길 수 있습니다.  

4) **변형/대체 옵션**  
- 두부 대신 tempeh(템페)를 사용해도 좋습니다.  
- 간장 대신 타마리 소스를 사용하면 글루텐 프리 옵션이 됩니다.  
- 추가로 채소 (예: 브로콜리, 당근 등)를 넣어 영양을 더할 수 있습니다.  

이 요리는 단백질이 풍부하고, 비건 식단에 적합한 영양가 높은 한 끼가 됩니다!",recipe,10,10,True,has_docs
3,"토마토, 바질, 올리브오일로 만들 수 있는 파스타 알려줘.","토마토, 바질, 올리브 오일로 간단하면서도 맛있는 '토마토 바질 파스타'를 만들어 보세요!

1) **재료(계량 포함)**:
   - 스파게티 면 200g
   - 신선한 토마토 4개 (중간 크기)
   - 신선한 바질 잎 한 줌
   - 올리브 오일 3큰술
   - 마늘 2쪽 (다진 것)
   - 소금, 후추 (기호에 따라)
   - 파르메산 치즈 (선택 사항)

2) **단계**:
   1. 큰 냄비에 물을 끓이고 소금을 넣은 후 스파게티 면을 포장 지침에 따라 삶아줍니다.
   2. 삶는 동안, 토마토를 잘게 썰고 바질 잎은 잘게 찢어 준비합니다.
   3. 팬에 올리브 오일을 두르고 중불에서 다진 마늘을 넣어 향이 올라올 때까지 볶습니다.
   4. 썰어놓은 토마토를 팬에 넣고 소금과 후추로 간을 한 후, 약 5분간 조리하여 소스가 되도록 합니다.
   5. 삶은 스파게티 면을 팬에 넣고 잘 섞은 후, 마지막에 바질 잎을 넣고 가볍게 섞습니다.
   6. 원한다면 파르메산 치즈를 뿌려서 서빙합니다.

3) **핵심 팁**:
   - 신선한 재료를 사용할수록 맛이 좋습니다. 여름철에는 제철 토마토를 사용하는 것이 이상적입니다.
   - 올리브 오일의 품질이 요리의 맛을 좌우하므로 좋은 품질의 올리브 오일을 선택하세요.

4) **변형/대체 옵션**:
   - 토마토 대신 방울토마토를 사용하면 더 달콤한 맛을 낼 수 있습니다.
   - 바질 대신 파슬리나 오레가노를 사용할 수 있습니다.
   - 해산물(새우, 조개 등)을 추가하여 풍미를 더할 수 있습니다.

이 파스타는 간단하면서도 신선한 맛을 즐길 수 있는 요리입니다. 맛있게 만들어 보세요!",recipe,10,10,True,has_docs
4,감자와 달걀로 20분 안에 만들 수 있는 요리는?,"감자와 달걀로 20분 안에 만들 수 있는 요리는 ""감자 달걀 볶음""입니다. 이 요리는 간단하면서도 맛있고 영양가가 높습니다.

1) **재료(계량 포함)**:
   - 감자 2개 (중간 크기)
   - 달걀 2개
   - 양파 1/2개 (선택 사항)
   - 식용유 2큰술
   - 소금, 후추 약간
   - 파슬리 또는 대파 (장식용, 선택 사항)

2) **단계**:
   1. 감자는 껍질을 벗기고 작은 주사위 모양으로 썰어줍니다.
   2. 양파도 잘게 썰어줍니다 (사용하는 경우).
   3. 팬에 식용유를 두르고 중불로 가열한 후, 감자를 넣고 5-7분간 볶아줍니다.
   4. 감자가 반쯤 익으면 양파를 추가하고, 소금과 후추로 간을 맞춥니다.
   5. 달걀을 풀어 팬에 붓고, 감자와 잘 섞이도록 볶아줍니다.
   6. 달걀이 익을 때까지 볶아주고, 마지막으로 파슬리나 대파로 장식합니다.

3) **핵심 팁**:
   - 감자를 미리 삶아두면 조리 시간을 단축할 수 있습니다.
   - 달걀을 넣기 전에 감자가 충분히 익었는지 확인하세요.

4) **변형/대체 옵션**:
   - 감자 대신 고구마를 사용해도 좋습니다.
   - 채소를 추가하고 싶다면 당근이나 피망을 넣어도 맛있습니다.

이 요리는 단백질과 탄수화물이 조화를 이루어 간단한 한 끼로 좋습니다. 감자 100g당 약 77칼로리, 달걀 1개당 약 70칼로리 정도로, 영양가가 높습니다.",recipe,10,10,True,has_docs
5,소고기 다짐육 남았는데 한 그릇 요리 추천해줘.,"소고기 다짐육을 활용한 '소고기 덮밥' 레시피를 추천합니다. 이 요리는 간단하면서도 맛있고, 한 그릇으로 충분한 영양을 제공합니다.

1) **재료(계량 포함)**:
   - 소고기 다짐육 300g
   - 양파 1개 (중간 크기)
   - 당근 1/2개
   - 대파 1대
   - 간장 3큰술
   - 설탕 1큰술
   - 참기름 1큰술
   - 후추 약간
   - 밥 2공기
   - 깨소금 약간 (선택)

2) **단계**:
   1. 양파와 당근을 얇게 채 썰고, 대파는 송송 썬다.
   2. 팬에 참기름을 두르고 양파와 당근을 넣어 볶다가, 소고기 다짐육을 추가한다.
   3. 소고기가 익을 때까지 볶고, 간장, 설탕, 후추를 넣어 잘 섞는다.
   4. 마지막에 대파를 넣고 한 번 더 볶아준다.
   5. 밥 위에 볶은 소고기와 야채를 올리고, 원한다면 깨소금을 뿌려서 완성한다.

3) **핵심 팁**:
   - 소고기 다짐육을 볶을 때 너무 오래 익히지 않도록 주의하세요. 육즙이 빠져나가면 맛이 떨어질 수 있습니다.
   - 간장과 설탕의 비율은 개인의 취향에 따라 조절할 수 있습니다.

4) **변형/대체 옵션**:
   - 소고기 대신 돼지고기나 닭고기를 사용해도 좋습니다.
   - 야채는 취향에 따라 브로콜리, 피망 등으로 대체할 수 있습니다.
   - 밥 대신 퀴노아나 현미밥으로 건강하게 변형할 수 있습니다.

이 소고기 덮밥은 간단하게 만들 수 있으며, 영양가도 높아 한 끼 식사로 적합합니다.",recipe,10,10,True,has_docs
6,"애호박, 양파, 당근으로 국이나 찌개 할 수 있을까?","네, 애호박, 양파, 당근을 활용하여 맛있는 국이나 찌개를 만들 수 있습니다. 아래는 애호박, 양파, 당근을 이용한 간단한 애호박국 레시피입니다.

1) **재료**  
- 애호박: 1개 (약 200g)  
- 양파: 1개 (약 100g)  
- 당근: 1/2개 (약 50g)  
- 물: 4컵 (약 1리터)  
- 국간장: 2큰술  
- 다진 마늘: 1큰술  
- 소금: 적당량  
- 후춧가루: 약간  
- 대파: 1대 (선택 사항)  

2) **단계**  
1. 애호박과 당근은 얇게 썰고, 양파는 채 썬다.  
2. 냄비에 물을 붓고 끓인다.  
3. 물이 끓으면 애호박, 양파, 당근을 넣고 중불에서 5분 정도 끓인다.  
4. 국간장과 다진 마늘을 넣고 2-3분 더 끓인다.  
5. 소금과 후춧가루로 간을 맞춘 후, 대파를 넣고 한 번 더 끓인다.  
6. 그릇에 담아 따뜻하게 서빙한다.  

3) **핵심 팁**  
- 국물의 깊은 맛을 원한다면 멸치나 다시마로 육수를 내면 좋습니다.  
- 국간장 대신 소금을 사용해도 무방합니다.  

4) **변형/대체 옵션**  
- 애호박 대신 호박이나 브로콜리를 사용할 수 있습니다.  
- 양파 대신 대파를 추가하면 더욱 향긋한 맛을 낼 수 있습니다.  
- 고기를 추가하고 싶다면, 소고기나 돼지고기를 넣어도 좋습니다.  

이 레시피는 간단하면서도 영양가가 높아 건강한 한 끼로 적합합니다.",recipe,10,10,True,has_docs
7,생연어로 오븐 없이 만들 수 있는 요리 뭐가 있어?,"생연어로 오븐 없이 만들 수 있는 요리로는 ""연어 타르타르""를 추천합니다. 이 요리는 신선한 생연어를 사용하여 간단하게 만들 수 있으며, 신선한 재료와 함께 조리하여 맛을 극대화할 수 있습니다.

1) **재료**:
   - 생연어 200g (신선한 것으로 준비)
   - 아보카도 1개
   - 레몬 주스 1큰술
   - 올리브 오일 1큰술
   - 소금, 후추 약간
   - 다진 양파 1큰술 (선택 사항)
   - 다진 신선한 허브 (바질, 딜 등) 1큰술 (선택 사항)

2) **단계**:
   1. 생연어를 잘게 다진다.
   2. 아보카도를 반으로 잘라 씨를 빼고, 과육을 숟가락으로 떠서 잘게 다진다.
   3. 다진 연어와 아보카도를 큰 그릇에 넣고, 레몬 주스, 올리브 오일, 소금, 후추를 추가한다.
   4. 원한다면 다진 양파와 허브를 추가하여 잘 섞는다.
   5. 접시에 담아 장식하고, 원한다면 크래커나 빵과 함께 제공한다.

3) **핵심 팁**:
   - 생연어는 반드시 신선한 것을 사용해야 하며, 구매 시 신뢰할 수 있는 곳에서 구입하세요.
   - 레몬 주스는 생연어의 비린내를 줄여주고 신선한 맛을 더해줍니다.

4) **변형/대체 옵션**:
   - 아보카도 대신 오이 또는 파프리카를 사용하여 아삭한 식감을 더할 수 있습니다.
   - 허브 대신 다른 향신료를 추가하여 다양한 맛을 시도할 수 있습니다.

이 요리는 신선하고 건강한 맛을 즐길 수 있으며, 간단하게 준비할 수 있어 손님 접대에도 적합합니다.",recipe,10,10,True,has_docs
8,냉동새우로 술안주 추천해줘.,"냉동새우를 활용한 간단하고 맛있는 술안주로 ""마늘 버터 새우""를 추천합니다. 이 요리는 새우의 풍미를 살리면서도 마늘과 버터의 조화로 깊은 맛을 느낄 수 있습니다.

1) **재료(계량 포함)**  
- 냉동새우 300g  
- 버터 50g  
- 다진 마늘 3큰술  
- 올리브 오일 1큰술  
- 소금 약간  
- 후추 약간  
- 파슬리 (선택사항)  

2) **단계**  
1. 냉동새우를 찬물에 해동한 후 물기를 제거합니다.  
2. 팬에 올리브 오일과 버터를 넣고 중불에서 녹입니다.  
3. 다진 마늘을 넣고 향이 올라올 때까지 볶습니다.  
4. 해동한 새우를 팬에 넣고 소금과 후추로 간을 합니다.  
5. 새우가 핑크색으로 변할 때까지 약 3-4분간 볶습니다.  
6. 마지막으로 파슬리를 뿌려 장식하고, 뜨거운 상태로 서빙합니다.  

3) **핵심 팁**  
- 새우는 과도하게 조리하지 않도록 주의하세요. 너무 익히면 질겨질 수 있습니다.  
- 마늘은 타지 않도록 중불에서 조리하는 것이 중요합니다.  

4) **변형/대체 옵션**  
- 버터 대신 올리브 오일만 사용하거나, 매운 맛을 원한다면 고추가루나 청양고추를 추가해도 좋습니다.  
- 새우 대신 다른 해산물(예: 오징어, 조개 등)을 사용해도 맛있습니다.  

이 마늘 버터 새우는 간단하게 만들 수 있어 술안주로 제격입니다. 즐거운 시간 되세요!",recipe,10,10,True,has_docs
9,글루텐 프리 치킨요리 추천해줘.,"글루텐 프리 치킨 요리로 ""허브 구운 치킨""을 추천합니다. 이 요리는 간단하면서도 풍미가 가득해 가족 모두가 좋아할 만한 메뉴입니다.

1) **재료**:
   - 닭 가슴살 500g
   - 올리브 오일 3큰술
   - 마늘 3쪽 (다진 것)
   - 로즈마리 1큰술 (신선한 것 또는 말린 것)
   - 타임 1큰술 (신선한 것 또는 말린 것)
   - 소금 1작은술
   - 후추 1/2작은술
   - 레몬 1개 (즙과 제스트)

2) **단계**:
   1. 오븐을 200도로 예열합니다.
   2. 큰 볼에 올리브 오일, 다진 마늘, 로즈마리, 타임, 소금, 후추, 레몬즙과 제스트를 넣고 잘 섞습니다.
   3. 닭 가슴살을 볼에 넣고 양념이 잘 배도록 버무립니다. 최소 30분간 재워둡니다.
   4. 재워둔 닭 가슴살을 오븐에 넣고 25-30분간 구워줍니다. 중간에 한 번 뒤집어 주세요.
   5. 닭이 완전히 익으면 오븐에서 꺼내어 5분 정도 휴지시킨 후 썰어 서빙합니다.

3) **핵심 팁**:
   - 닭고기를 재울 때, 냉장고에서 재우면 더욱 깊은 맛을 느낄 수 있습니다.
   - 허브는 신선한 것을 사용하면 향이 더 좋습니다.

4) **변형/대체 옵션**:
   - 닭 가슴살 대신 닭 허벅지살을 사용하면 더 부드럽고 육즙이 풍부한 요리가 됩니다.
   - 허브 대신 바질이나 오레가노를 사용해도 좋습니다.

이 요리는 단백질이 풍부하고 글루텐이 없어 건강한 한 끼로 적합합니다.",recipe,10,10,True,has_docs
10,유당 불내증 있어. 크림 없이도 고소한 파스타 있을까?,"유당 불내증이 있으시다면 크림 없이도 고소한 맛을 낼 수 있는 파스타 레시피를 소개해드릴게요. 이 레시피는 올리브 오일과 견과류를 사용하여 고소한 맛을 강조합니다.

1) **재료**:
   - 파스타(스파게티 또는 펜네) 200g
   - 올리브 오일 4큰술
   - 마늘 3쪽 (다진 것)
   - 잣 또는 호두 50g (볶아서 다진 것)
   - 파르메산 치즈 대체용 영양 효모 2큰술 (선택 사항)
   - 소금, 후추 적당량
   - 신선한 바질 또는 파슬리 (장식용)

2) **단계**:
   1. 큰 냄비에 물을 끓이고 소금을 넣은 후 파스타를 포장지의 지시에 따라 삶습니다.
   2. 파스타가 삶아지는 동안, 팬에 올리브 오일을 두르고 다진 마늘을 넣어 중불에서 볶아 향을 낸 후, 볶은 견과류를 추가합니다.
   3. 삶은 파스타를 팬에 넣고 잘 섞어줍니다. 필요에 따라 파스타 삶은 물을 조금 추가하여 농도를 조절합니다.
   4. 소금과 후추로 간을 맞추고, 원한다면 영양 효모를 뿌려 고소한 맛을 더합니다.
   5. 접시에 담고 신선한 바질이나 파슬리로 장식하여 서빙합니다.

3) **핵심 팁**:
   - 견과류는 미리 볶아서 사용하면 더욱 고소한 맛을 낼 수 있습니다.
   - 영양 효모는 치즈 대체로 사용되며, 비건 요리에도 적합합니다.

4) **변형/대체 옵션**:
   - 파스타 대신 콜리플라워 또는 호박면을 사용하여 저탄수화물 옵션으로 변형할 수 있습니다.
   - 마늘 대신 양파를 사용해도 좋습니다.

이 레시피는 유당이 없으면서도 고소한 맛을 즐길 수 있는 훌륭한 선택입니다!",recipe,10,10,True,has_docs
11,땅콩 알레르기 있어. 땅콩 없이 아시아풍 면요리 알려줘.,"땅콩 알레르기가 있으시다면, 땅콩 대신 다른 재료를 활용하여 아시아풍 면요리를 만들 수 있습니다. 예를 들어, '태국식 볶음면(팟타이)'를 땅콩 없이 만들어 보세요.

**요리명: 땅콩 없는 태국식 볶음면(팟타이)**

**재료:**
- 쌀국수 200g
- 새우 또는 닭고기 150g
- 계란 2개
- 숙주 100g
- 대파 1대 (다진 것)
- 마늘 2쪽 (다진 것)
- 간장 2큰술
- 피시소스 1큰술
- 설탕 1큰술
- 라임 1개 (즙)
- 고수 (선택 사항)

**단계 요약:**
1. 쌀국수를 끓는 물에 삶아 부드럽게 만든 후, 찬물에 헹궈 물기를 빼둡니다.
2. 팬에 기름을 두르고 다진 마늘과 대파를 볶다가 새우 또는 닭고기를 넣고 익힙니다.
3. 계란을 풀어 팬에 넣고 스크램블한 후, 삶은 쌀국수를 추가합니다.
4. 간장, 피시소스, 설탕을 넣고 잘 섞은 후, 숙주를 넣고 살짝 볶습니다.
5. 마지막으로 라임즙을 뿌리고, 원한다면 고수를 올려서 완성합니다.

**대체재 비율 및 주의점:**
- 땅콩 대신 고소한 맛을 원하신다면, 볶은 참깨를 뿌리거나, 아몬드 가루를 소량 추가할 수 있습니다. 아몬드 가루는 땅콩과 비슷한 풍미를 줄 수 있지만, 알레르기가 있는 경우 주의가 필요합니다.
- 피시소스 대신 간장만 사용해도 좋습니다. 이 경우, 감칠맛을 더하기 위해 다시마 육수를 활용할 수 있습니다.

이렇게 하면 땅콩 없이도 맛있는 아시아풍 면요리를 즐길 수 있습니다!",substitution,10,10,True,has_docs
12,600kcal 이하 저염 한 끼 식단 추천해줘.,"저염 한 끼 식단으로 '닭가슴살 샐러드'를 추천합니다. 이 요리는 600kcal 이하로 건강하고 맛있으며, 다양한 채소를 활용하여 영양소를 골고루 섭취할 수 있습니다.

1) **재료**  
- 닭가슴살 100g (약 165kcal)  
- 로메인 상추 50g (약 10kcal)  
- 방울토마토 100g (약 18kcal)  
- 오이 50g (약 8kcal)  
- 아보카도 50g (약 80kcal)  
- 올리브유 1큰술 (약 120kcal)  
- 레몬즙 1큰술 (약 4kcal)  
- 후추, 허브 (기호에 따라)  

**총 칼로리: 약 405kcal**

2) **단계**  
1. 닭가슴살을 소금 없이 후추와 허브로 간을 한 후, 팬에서 구워줍니다.  
2. 구운 닭가슴살을 식힌 후, 얇게 썰어줍니다.  
3. 로메인 상추, 방울토마토, 오이, 아보카도를 적당한 크기로 썰어 큰 그릇에 담습니다.  
4. 구운 닭가슴살을 채소 위에 올리고, 올리브유와 레몬즙을 뿌립니다.  
5. 모든 재료를 잘 섞어 접시에 담고, 후추로 마무리합니다.  

3) **핵심 팁**  
- 닭가슴살은 미리 삶거나 구워서 준비해두면 더욱 간편하게 만들 수 있습니다.  
- 다양한 채소를 추가하여 색다른 맛을 즐길 수 있습니다. 예를 들어, 파프리카나 당근을 추가해보세요.  

4) **변형/대체 옵션**  
- 닭가슴살 대신 두부나 훈제 연어로 대체할 수 있습니다.  
- 아보카도를 빼고 대신 견과류를 추가하면 고소한 맛을 더할 수 있습니다.  

이 식단은 저염이면서도 단백질과 건강한 지방을 포함하고 있어 균형 잡힌 한 끼로 적합합니다.",recipe,10,10,True,has_docs
